net,length_um
_0295_,19.22µm
_0658_,19.22µm
_0141_,19.16µm
_0488_,19.16µm
_0524_,19.16µm
_0481_,19.12µm
_0187_,19.08µm
_0234_,19.04µm
_0631_,18.98µm
product_reg\[9\],18.92µm
_0155_,18.91µm
_0336_,18.78µm
_0309_,18.66µm
_0229_,18.56µm
_0314_,18.54µm
_0453_,18.54µm
_0379_,18.5µm
_0436_,18.48µm
net217,18.48µm
_0354_,18.44µm
_0019_,18.425µm
_0422_,18.36µm
_0525_,18.36µm
net139,18.32µm
net228,18.28µm
net50,18.2µm
_0567_,18.15µm
net16,18.06µm
net229,18.06µm
_0528_,17.98µm
_0110_,17.86µm
net63,17.78µm
_0226_,17.66µm
_0346_,17.64µm
_0113_,17.62µm
_0672_,17.62µm
net56,17.62µm
b_in[7],17.49µm
_0452_,17.48µm
_0095_,17.44µm
_0170_,17.44µm
_0420_,17.38µm
_0547_,17.36µm
_0205_,17.32µm
_0536_,17.24µm
_0554_,17.24µm
_0251_,17.22µm
psum[27],17.1µm
net9,17.1µm
_0131_,17.06µm
psum[24],17.04µm
_0240_,17.03µm
_0296_,17.02µm
net47,16.98µm
_0597_,16.92µm
a_out[0],16.87µm
_0103_,16.86µm
_0092_,16.84µm
_0093_,16.84µm
_0490_,16.84µm
net216,16.84µm
_0162_,16.8µm
_0555_,16.78µm
_0158_,16.76µm
_0334_,16.76µm
_0387_,16.75µm
_0526_,16.68µm
_0463_,16.62µm
_0233_,16.54µm
_0442_,16.52µm
_0534_,16.48µm
_0573_,16.47µm
_0252_,16.42µm
_0618_,16.42µm
_0224_,16.36µm
_0546_,16.36µm
net308,16.34µm
net287,16.3µm
_0495_,16.14µm
_0223_,16.02µm
net289,15.96µm
_0097_,15.94µm
_0312_,15.94µm
_0287_,15.92µm
_0625_,15.875µm
_0071_,15.87µm
_0163_,15.84µm
_0279_,15.8µm
_0651_,15.8µm
_0315_,15.78µm
_0405_,15.78µm
net205,15.6µm
_0392_,15.52µm
net151,15.52µm
_0373_,15.48µm
_0278_,15.42µm
_0417_,15.38µm
_0260_,15.22µm
product_reg\[8\],15.18µm
_0599_,15.16µm
_0130_,15.1µm
_0666_,15.1µm
psum[5],15.09µm
_0138_,14.975µm
_0152_,14.94µm
_0656_,14.94µm
_0140_,14.88µm
net295,14.88µm
net283,14.84µm
_0072_,14.82µm
_0400_,14.82µm
_0068_,14.8µm
_0177_,14.8µm
_0638_,14.74µm
_0480_,14.72µm
_0268_,14.6µm
net212,14.58µm
_0352_,14.44µm
_0564_,14.44µm
net206,14.38µm
_0132_,14.22µm
_0551_,14.22µm
net171,14.22µm
_0089_,14.16µm
_0621_,14.12µm
_0290_,14.1µm
net98,14.06µm
_0218_,14.02µm
_0510_,14.02µm
_0622_,14.02µm
_0580_,14µm
_0520_,13.94µm
net288,13.92µm
_0637_,13.9µm
_0104_,13.88µm
_0602_,13.88µm
_0649_,13.88µm
_0502_,13.86µm
_0306_,13.84µm
_0348_,13.84µm
_0324_,13.8µm
_0590_,13.68µm
net330,13.62µm
_0364_,13.605µm
_0241_,13.6µm
net157,13.6µm
_0662_,13.58µm
_0335_,13.5µm
_0418_,13.5µm
_0372_,13.46µm
_0225_,13.42µm
_0423_,13.38µm
_0246_,13.3µm
_0498_,13.3µm
_0098_,13.26µm
_0213_,13.26µm
_0368_,13.26µm
_0645_,13.225µm
_0122_,13.16µm
_0220_,13.12µm
_0180_,13.1µm
_0169_,13.08µm
_0531_,13.04µm
net164,13µm
net143,12.98µm
net144,12.98µm
psum[21],12.96µm
net21,12.92µm
net318,12.84µm
_0139_,12.8µm
_0175_,12.74µm
net150,12.64µm
_0272_,12.6µm
_0118_,12.58µm
_0255_,12.56µm
_0359_,12.52µm
_0433_,12.52µm
_0521_,12.52µm
_0248_,12.5µm
