Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_45_196,VPWR,li1,95.9100,133.2800,1.799772
FILLER_45_185,VPWR,li1,90.8500,133.2800,1.799776
FILLER_45_181,VPWR,li1,89.7000,133.2800,1.799779
FILLER_45_169,VPWR,li1,86.0200,133.2800,1.799781
FILLER_45_156,VPWR,li1,80.0400,133.2800,1.799789
FILLER_45_140,VPWR,li1,72.6800,133.2800,1.799801
FILLER_45_128,VPWR,li1,67.1600,133.2800,1.799809
FILLER_45_111,VPWR,li1,56.8100,133.2800,1.799832
FILLER_45_103,VPWR,li1,54.7400,133.2800,1.799837
FILLER_45_91,VPWR,li1,50.1400,133.2800,1.799848
FILLER_45_73,VPWR,li1,40.9400,133.2800,1.799876
FILLER_45_57,VPWR,li1,31.9700,133.2800,1.799903
FILLER_45_26,VPWR,li1,18.1700,133.2800,1.799941
FILLER_45_18,VPWR,li1,15.6400,133.2800,1.799940
FILLER_45_6,VPWR,li1,11.0400,133.2800,1.799937
FILLER_44_309,VPWR,li1,148.1200,133.2800,1.799759
FILLER_44_299,VPWR,li1,143.2900,133.2800,1.799759
FILLER_44_295,VPWR,li1,142.1400,133.2800,1.799759
FILLER_44_230,VPWR,li1,111.5500,133.2800,1.799763
FILLER_44_218,VPWR,li1,108.5600,133.2800,1.799764
FILLER_44_197,VPWR,li1,97.9800,133.2800,1.799770
FILLER_44_194,VPWR,li1,95.2200,133.2800,1.799772
FILLER_44_176,VPWR,li1,88.3200,133.2800,1.799779
FILLER_44_164,VPWR,li1,83.7200,133.2800,1.799785
FILLER_44_153,VPWR,li1,76.1300,133.2800,1.799793
FILLER_44_137,VPWR,li1,69.2300,133.2800,1.799805
FILLER_44_129,VPWR,li1,65.0900,133.2800,1.799813
FILLER_44_121,VPWR,li1,63.0200,133.2800,1.799817
FILLER_44_109,VPWR,li1,58.4200,133.2800,1.799832
FILLER_44_97,VPWR,li1,52.9000,133.2800,1.799841
FILLER_44_90,VPWR,li1,47.6100,133.2800,1.799854
FILLER_44_80,VPWR,li1,43.2400,133.2800,1.799866
FILLER_44_68,VPWR,li1,39.5600,133.2800,1.799876
FILLER_44_56,VPWR,li1,34.0400,133.2800,1.799892
FILLER_44_52,VPWR,li1,29.6700,133.2800,1.799912
FILLER_44_46,VPWR,li1,28.0600,133.2800,1.799912
FILLER_44_37,VPWR,li1,23.0000,133.2800,1.799932
FILLER_44_29,VPWR,li1,20.7000,133.2800,1.799943
FILLER_44_22,VPWR,li1,17.0200,133.2800,1.799941
FILLER_43_308,VPWR,li1,147.8900,127.8400,1.799446
FILLER_43_281,VPWR,li1,136.6200,127.8400,1.799449
FILLER_43_279,VPWR,li1,134.0900,127.8400,1.799449
FILLER_43_267,VPWR,li1,131.1000,127.8400,1.799450
FILLER_43_233,VPWR,li1,113.1600,127.8400,1.799472
FILLER_43_225,VPWR,li1,110.8600,127.8400,1.799478
FILLER_43_221,VPWR,li1,107.8700,127.8400,1.799482
FILLER_43_213,VPWR,li1,105.3400,127.8400,1.799488
FILLER_43_196,VPWR,li1,98.4400,127.8400,1.799500
FILLER_43_184,VPWR,li1,92.9200,127.8400,1.799511
FILLER_43_172,VPWR,li1,87.4000,127.8400,1.799526
FILLER_43_167,VPWR,li1,82.5700,127.8400,1.799544
FILLER_43_152,VPWR,li1,75.6700,127.8400,1.799568
FILLER_43_146,VPWR,li1,74.0600,127.8400,1.799568
FILLER_43_113,VPWR,li1,58.8800,127.8400,1.799640
FILLER_43_106,VPWR,li1,55.6600,127.8400,1.799659
FILLER_43_79,VPWR,li1,42.0900,127.8400,1.799743
FILLER_43_53,VPWR,li1,30.5900,127.8400,1.799829
FILLER_43_45,VPWR,li1,28.0600,127.8400,1.799850
FILLER_43_24,VPWR,li1,17.0200,127.8400,1.799896
FILLER_43_6,VPWR,li1,10.1200,127.8400,1.799893
FILLER_42_309,VPWR,li1,148.1200,127.8400,1.799446
FILLER_42_263,VPWR,li1,128.3400,127.8400,1.799451
FILLER_42_241,VPWR,li1,116.6100,127.8400,1.799468
FILLER_42_233,VPWR,li1,114.5400,127.8400,1.799472
FILLER_42_221,VPWR,li1,109.9400,127.8400,1.799478
FILLER_42_209,VPWR,li1,104.4200,127.8400,1.799488
FILLER_42_197,VPWR,li1,98.9000,127.8400,1.799500
FILLER_42_192,VPWR,li1,94.7600,127.8400,1.799508
FILLER_42_174,VPWR,li1,87.4000,127.8400,1.799526
FILLER_42_162,VPWR,li1,82.8000,127.8400,1.799538
FILLER_42_139,VPWR,li1,69.6900,127.8400,1.799592
FILLER_42_135,VPWR,li1,68.5400,127.8400,1.799592
FILLER_42_20,VPWR,li1,14.9500,127.8400,1.799895
FILLER_42_6,VPWR,li1,8.7400,127.8400,1.799893
FILLER_41_308,VPWR,li1,147.8900,122.4000,1.798353
